[0.000000] (-) TimerEvent: {}
[0.000586] (ur_description) JobQueued: {'identifier': 'ur_description', 'dependencies': OrderedDict()}
[0.352990] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10e/visual\n'}
[0.353522] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10e/visual/wrist1.dae\n'}
[0.353669] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10e/visual/shoulder.dae\n'}
[0.353753] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10e/visual/base.dae\n'}
[0.353882] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10e/visual/forearm.dae\n'}
[0.354400] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10e/visual/upperarm.dae\n'}
[0.354672] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10e/visual/wrist2.dae\n'}
[0.354775] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10e/visual/wrist3.dae\n'}
[0.354852] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10e/collision\n'}
[0.354977] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10e/collision/upperarm.stl\n'}
[0.355080] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10e/collision/wrist1.stl\n'}
[0.355159] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10e/collision/wrist2.stl\n'}
[0.355232] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10e/collision/wrist3.stl\n'}
[0.355304] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10e/collision/forearm.stl\n'}
[0.355403] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10e/collision/shoulder.stl\n'}
[0.355560] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10e/collision/base.stl\n'}
[0.355933] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3e\n'}
[0.356406] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3e/visual\n'}
[0.356922] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3e/visual/wrist1.dae\n'}
[0.357312] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3e/visual/shoulder.dae\n'}
[0.357901] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3e/visual/base.dae\n'}
[0.358045] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3e/visual/forearm.dae\n'}
[0.358383] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3e/visual/upperarm.dae\n'}
[0.358833] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3e/visual/wrist2.dae\n'}
[0.358988] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3e/visual/wrist3.dae\n'}
[0.359161] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3e/collision\n'}
[0.359296] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3e/collision/upperarm.stl\n'}
[0.359419] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3e/collision/wrist1.stl\n'}
[0.359621] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3e/collision/wrist2.stl\n'}
[0.360680] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3e/collision/wrist3.stl\n'}
[0.360956] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3e/collision/forearm.stl\n'}
[0.361097] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3e/collision/shoulder.stl\n'}
[0.361223] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3e/collision/base.stl\n'}
[0.361794] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5\n'}
[0.362971] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5/visual\n'}
[0.363448] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5/visual/wrist1.dae\n'}
[0.363549] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5/visual/shoulder.dae\n'}
[0.363650] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5/visual/base.dae\n'}
[0.363765] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5/visual/forearm.dae\n'}
[0.363864] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5/visual/upperarm.dae\n'}
[0.365582] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5/visual/wrist2.dae\n'}
[0.366374] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5/visual/wrist3.dae\n'}
[0.366628] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5/collision\n'}
[0.367143] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5/collision/upperarm.stl\n'}
[0.367671] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5/collision/wrist1.stl\n'}
[0.367889] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5/collision/wrist2.stl\n'}
[0.368262] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5/collision/wrist3.stl\n'}
[0.368615] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5/collision/forearm.stl\n'}
[0.368821] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5/collision/shoulder.stl\n'}
[0.369078] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5/collision/base.stl\n'}
[0.369289] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5e\n'}
[0.369539] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5e/visual\n'}
[0.369916] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5e/visual/wrist1.dae\n'}
[0.370368] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5e/visual/shoulder.dae\n'}
[0.370869] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5e/visual/base.dae\n'}
[0.371007] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5e/visual/forearm.dae\n'}
[0.371231] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5e/visual/upperarm.dae\n'}
[0.371610] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5e/visual/wrist2.dae\n'}
[0.371922] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5e/visual/wrist3.dae\n'}
[0.372562] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5e/collision\n'}
[0.372697] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5e/collision/upperarm.stl\n'}
[0.372785] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5e/collision/wrist1.stl\n'}
[0.372859] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5e/collision/wrist2.stl\n'}
[0.372937] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5e/collision/wrist3.stl\n'}
[0.373028] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5e/collision/forearm.stl\n'}
[0.373086] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5e/collision/shoulder.stl\n'}
[0.373148] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur5e/collision/base.stl\n'}
[0.373205] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10\n'}
[0.373310] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10/visual\n'}
[0.373645] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10/visual/wrist1.dae\n'}
[0.373958] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10/visual/shoulder.dae\n'}
[0.374281] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10/visual/base.dae\n'}
[0.374621] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10/visual/forearm.dae\n'}
[0.374913] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10/visual/upperarm.dae\n'}
[0.375256] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10/visual/wrist2.dae\n'}
[0.375972] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10/visual/wrist3.dae\n'}
[0.376110] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10/collision\n'}
[0.376260] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10/collision/upperarm.stl\n'}
[0.376348] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10/collision/wrist1.stl\n'}
[0.376406] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10/collision/wrist2.stl\n'}
[0.376467] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10/collision/wrist3.stl\n'}
[0.376524] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10/collision/forearm.stl\n'}
[0.376578] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10/collision/shoulder.stl\n'}
[0.376633] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10/collision/base.stl\n'}
[0.376687] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3\n'}
[0.376740] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3/visual\n'}
[0.376793] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3/visual/wrist1.dae\n'}
[0.376865] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3/visual/shoulder.dae\n'}
[0.376920] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3/visual/base.dae\n'}
[0.377026] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3/visual/forearm.dae\n'}
[0.377531] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3/visual/upperarm.dae\n'}
[0.377827] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3/visual/wrist2.dae\n'}
[0.377946] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3/visual/wrist3.dae\n'}
[0.378055] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3/collision\n'}
[0.378352] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3/collision/upperarm.stl\n'}
[0.379612] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3/collision/wrist1.stl\n'}
[0.380091] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3/collision/wrist2.stl\n'}
[0.380355] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3/collision/wrist3.stl\n'}
[0.380781] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3/collision/forearm.stl\n'}
[0.381357] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3/collision/shoulder.stl\n'}
[0.381794] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur3/collision/base.stl\n'}
[0.382969] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/rviz\n'}
[0.383778] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/rviz/view_robot.rviz\n'}
[0.384315] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/urdf\n'}
[0.384641] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/urdf/ur.ros2_control.xacro\n'}
[0.385192] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/urdf/ur.urdf.xacro\n'}
[0.385464] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/urdf/inc\n'}
[0.385763] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/urdf/inc/ur_common.xacro\n'}
[0.386039] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/urdf/inc/ur_transmissions.xacro\n'}
[0.386369] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/urdf/ur_macro.xacro\n'}
[0.386609] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/test\n'}
[0.386890] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/test/test_ur_urdf_xacro.py\n'}
[0.387177] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/test/test_view_ur_launch.py\n'}
[0.387326] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ament_index/resource_index/package_run_dependencies/ur_description\n'}
[0.387537] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ament_index/resource_index/parent_prefix_path/ur_description\n'}
[0.388038] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/environment/ament_prefix_path.sh\n'}
[0.388280] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/environment/ament_prefix_path.dsv\n'}
[0.388502] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/environment/path.sh\n'}
[0.388626] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/environment/path.dsv\n'}
[0.388781] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/local_setup.bash\n'}
[0.388928] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/local_setup.sh\n'}
[0.389108] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/local_setup.zsh\n'}
[0.389370] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/local_setup.dsv\n'}
[0.389926] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/package.dsv\n'}
[0.390628] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ament_index/resource_index/packages/ur_description\n'}
[0.391720] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/cmake/ur_descriptionConfig.cmake\n'}
[0.392322] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/cmake/ur_descriptionConfig-version.cmake\n'}
[0.392711] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/package.xml\n'}
[0.394646] (ur_description) CommandEnded: {'returncode': 0}
[0.400405] (-) TimerEvent: {}
[0.490454] (ur_description) JobEnded: {'identifier': 'ur_description', 'rc': 0}
[0.493221] (-) EventReactorShutdown: {}
